first_seen,last_seen,Keyword,Suggestion,is_new,blogpost_created
2022-07-12,2022-07-12,paralympic games,paralympic games japan,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games events,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games cycling,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games opening ceremony 2022,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games facebook,True,False
2022-07-12,2022-07-12,paralympic games,перевод текста the paralympic games 8 класс,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games importance,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games opening ceremony,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2021,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games hong kong,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games london,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games best moments,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games ks1,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2012,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games news,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games started in,True,False
2022-07-12,2022-07-12,paralympic games,special olympics guardian games,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games eligibility,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games usually happen in greece,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games judo,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games india medals,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games usually happen,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games founder,True,False
2022-07-12,2022-07-12,paralympic games,examples of paralympic games,True,False
2022-07-12,2022-07-12,paralympic games,5 paralympic games,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games images,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games rome 1960,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games olympics,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games tokyo 2021 medals,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games table,True,False
2022-07-12,2022-07-12,paralympic games,tokyo 2020 paralympic games qualification guide,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games schedule,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games ukraine,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games pronunciation,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games eurosport,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games wheelchair basketball,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 1980,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games values,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games swimming categories,True,False
2022-07-12,2022-07-12,paralympic games,paralympics games google doodle,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games first name,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games classes,True,False
2022-07-12,2022-07-12,paralympic games,rio 2016 paralympic games yes i can,True,False
2022-07-12,2022-07-12,paralympic games,special olympics youth games 2020,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 1984,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games indian winners,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games winter,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games quotes,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2021 javelin throw,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games long jump,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games watch,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games held,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games disciplines,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2021 ukraine,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games london 2012,True,False
2022-07-12,2022-07-12,paralympic games,history of paralympic games,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games beijing 2022,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games boccia,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games locations,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games india,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games live score,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games upsc,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games dates,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2024,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games uae,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games every four years,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games essay in hindi,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games held after how many years,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games highlights,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games nbc,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games on tv,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games reading comprehension,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games usa,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games in hindi,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games photos,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games 2021 channel 4,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games history and legacy of a global movement,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games google,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games categories,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games ppt,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games wikipedia,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games sponsors,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games held after,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games hindi,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games logo,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games symbol,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games short note,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games swimming,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games down syndrome,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games official website,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games tokyo 2021,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games on nbc,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games players,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games tokyo 2021 youtube,True,False
2022-07-12,2022-07-12,paralympic games,paralympic games javelin throw,True,False
2022-07-12,2022-07-12,paralympic games,paralympics unfair games,True,False
