first_seen,last_seen,Keyword_x,Suggestion,is_new,blogpost_created,category,blogpost_title,silot_terms,cornerstone,cluster,Keyword_y,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques de tokyo 2020 xbox one,True,False,,,,,0,jeux olympiques de tokyo 2020 xbox one,EUR,,50.0,0%,â,High,82.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques xbox,True,False,,,,,3,jeux olympiques xbox,EUR,,50.0,0%,0%,High,84.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques xbox one,True,False,,,,,3,jeux olympiques xbox one,EUR,,50.0,0%,-90%,High,86.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques wii,True,False,,,,,3,jeux olympiques wii,EUR,,50.0,0%,0%,High,87.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,american standard champion vs champion 4 max,True,False,,,,,26,american standard champion vs champion 4 max,EUR,,50.0,0%,0%,High,89.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,asterix aux jeux olympiques xbox 360,True,False,,,,,3,asterix aux jeux olympiques xbox 360,EUR,,50.0,0%,0%,High,91.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tokyo xbox one,True,False,,,,,0,jeux olympiques tokyo xbox one,EUR,,50.0,â,â,High,100.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympic weights,True,False,,,,,17,champion olympic weights,EUR,,50.0,0%,â,High,100.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques,True,False,,,,,3,jeux olympiques,EUR,,5000000.0,900%,900%,Low,2.0,0.27,3.93,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques 2020,True,False,,,,,12,jeux paralympiques 2020,EUR,,500000.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2021,True,False,,,,,18,jeux olympiques 2021,EUR,,500000.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2022,True,False,,,,,6,jeux olympiques 2022,EUR,,500000.0,0%,900%,Low,0.0,0.28,2.89,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tokyo,True,False,,,,,0,jeux olympiques tokyo,EUR,,500000.0,0%,-90%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique 2022,True,False,,,,,6,jeux paralympique 2022,EUR,,50000.0,-90%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique 2021,True,False,,,,,18,jeux paralympique 2021,EUR,,50000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques handball,True,False,,,,,8,jeux olympiques handball,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques hiver 2022,True,False,,,,,15,jeux olympiques hiver 2022,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques volley,True,False,,,,,11,jeux olympiques volley,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques football,True,False,,,,,3,jeux olympiques football,EUR,,50000.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tokyo 2021,True,False,,,,,0,jeux olympiques tokyo 2021,EUR,,50000.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2026,True,False,,,,,3,jeux olympiques 2026,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques classement,True,False,,,,,3,jeux olympiques classement,EUR,,50000.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2020,True,False,,,,,12,jeux olympiques 2020,EUR,,50000.0,0%,-90%,Low,0.0,0.05,0.49,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2016,True,False,,,,,3,jeux olympiques 2016,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques hiver,True,False,,,,,15,jeux olympiques hiver,EUR,,50000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques basket,True,False,,,,,3,jeux olympiques basket,EUR,,50000.0,0%,-90%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2028,True,False,,,,,3,jeux olympiques 2028,EUR,,50000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques france,True,False,,,,,23,jeux olympiques france,EUR,,50000.0,0%,0%,Low,1.0,0.49,2.29,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2024,True,False,,,,,27,jeux olympiques 2024,EUR,,50000.0,0%,0%,Low,2.0,0.36,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tv,True,False,,,,,3,jeux olympiques tv,EUR,,50000.0,0%,0%,Low,3.0,0.01,0.25,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique tokyo,True,False,,,,,0,jeux paralympique tokyo,EUR,,5000.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique tokyo 2021,True,False,,,,,0,jeux paralympique tokyo 2021,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
